month,Year,District,SAFETY,crime
6,2020,25.0,57.336666666666666,909
6,2021,1.0,56.0075,838
6,2021,2.0,50.9625,868
6,2021,3.0,56.7525,950
6,2021,4.0,52.5875,1176
6,2021,5.0,39.870000000000005,869
6,2021,6.0,46.4825,1230
6,2021,7.0,44.519999999999996,1088
6,2021,8.0,57.3775,1086
6,2021,9.0,54.3825,787
6,2021,10.0,49.9625,883
6,2021,11.0,42.57,1350
6,2021,12.0,52.405,905
6,2021,14.0,64.325,581
6,2021,15.0,64.125,737
6,2021,16.0,64.752,704
6,2021,17.0,64.7975,431
6,2021,18.0,58.66,893
6,2021,19.0,65.36500000000001,840
6,2021,20.0,67.37,354
6,2021,22.0,55.06,616
6,2021,24.0,61.495000000000005,615
6,2021,25.0,62.88166666666667,952
7,2018,1.0,69.675,1392
7,2018,2.0,58.09,1164
7,2018,3.0,60.57,1112
7,2018,4.0,58.0625,1288
7,2018,5.0,54.7075,1142
7,2018,6.0,56.9625,1587
7,2018,7.0,54.575,1442
7,2018,8.0,60.052499999999995,1589
7,2018,9.0,59.582499999999996,1099
7,2018,10.0,48.93,1177
7,2018,11.0,56.18,1745
7,2018,12.0,65.08,1228
7,2018,14.0,67.01,860
7,2018,15.0,53.239999999999995,1010
7,2018,16.0,72.026,735
7,2018,17.0,67.82249999999999,679
7,2018,18.0,72.5575,1525
7,2018,19.0,71.2925,1162
7,2018,20.0,71.1925,470
7,2018,22.0,65.61,798
7,2018,24.0,70.0125,778
7,2018,25.0,60.08166666666667,1293
7,2019,1.0,72.9,1390
7,2019,2.0,56.847500000000004,1030
7,2019,3.0,47.16,1213
7,2019,4.0,52.4475,1382
7,2019,5.0,49.2325,1129
7,2019,6.0,47.7,1673
7,2019,7.0,51.8825,1368
7,2019,8.0,54.1825,1438
7,2019,9.0,52.7975,1062
7,2019,10.0,51.879999999999995,1162
7,2019,11.0,49.8075,1837
7,2019,12.0,57.81,1244
7,2019,14.0,62.1075,909
7,2019,15.0,46.87,1008
7,2019,16.0,69.988,770
7,2019,17.0,64.6825,613
7,2019,18.0,68.9925,1423
7,2019,19.0,67.52250000000001,1093
7,2019,20.0,68.9625,416
7,2019,22.0,62.65,753
7,2019,24.0,65.48,775
7,2019,25.0,62.13,1182
7,2020,1.0,58.3,734
7,2020,2.0,56.4075,885
7,2020,3.0,46.6925,1043
7,2020,4.0,48.43,1197
7,2020,5.0,56.75,926
7,2020,6.0,51.667500000000004,1347
7,2020,7.0,47.25,1207
7,2020,8.0,54.0175,1214
7,2020,9.0,51.8425,897
7,2020,10.0,42.47,932
7,2020,11.0,43.26,1391
7,2020,12.0,56.207499999999996,931
7,2020,14.0,54.46,553
7,2020,15.0,36.6725,844
7,2020,16.0,67.31,665
7,2020,17.0,63.5,509
7,2020,18.0,58.1175,795
7,2020,19.0,61.4325,892
7,2020,20.0,69.5825,403
7,2020,22.0,60.11,633
7,2020,24.0,65.9225,635
7,2020,25.0,53.73166666666666,986
